identifier                  RA        DEC
2MASX_J09394584+0845033     144.941010      +08.750937
OGC_0441                    149.362584      +08.583831
2MASX_J10222648+0911396     155.610362      +09.194424
2MASX_J10304263+0418219     157.677536      +04.306011
2MFGC_8638                  166.368483      +07.611475
2dFGRS_TGN372Z095           170.834992      +00.300817
2MASX_J11483552+0325268     177.148008      +03.424114
2MASX_J11535621+4923562     178.484170      +49.398803
2dFGRS_TGN323Z033           190.606955      +00.946881
2dFGRS_TGN190Z184           194.859714      -01.782810
2MFGC_10372                 195.878158      -02.233453
OGC_1312                    218.699422      +02.041302
2MASX_J15154614+0235564     228.942292      +02.599017
2MASX_J15404057-0009331     235.169027      -00.159342
2MASX_J16014061+2718161     240.419233      +27.304500
2MASX_J16184003+0034367     244.666861      +00.576851
2MASX_J16394598+4609058     249.941620      +46.151627
Schulte_27                  308.498031      +41.293190
2MASX_J20541957-0055204     313.581505      -00.922236
2MASX_J21362206+0056519     324.091992      +00.947701
2MASX_J21384311-0052162     324.679754      -00.871164
2MASX_J21431882-0820164     325.828429      -08.337906
2MASX_J22073122-0729223     331.880096      -07.489536
2MASX_J23130513-0033477     348.271309      -00.563193
