identifier               log_mu_HI_SDSS log_mu_HI_legacy
2MASX J09394584+0845033  -0.428         -0.273
OGC 0441                 -1.400         -1.113
2MASX J10222648+0911396  -0.868         -0.796
2MASX J10304263+0418219  -1.151         -1.092
2MFGC 8638               -1.109         -1.171
2dFGRS TGN372Z095        -1.021         -0.955
2MASX J11483552+0325268  -1.199         -1.209
2MASX J11535621+4923562  -1.141         -1.297
2dFGRS TGN323Z033        -1.020         -1.008
2dFGRS TGN190Z184        -0.767         -0.715
2MFGC 10372              -0.998         -1.050
OGC 1312                 -1.135         -1.140
2MASX J15154614+0235564  -0.975         -1.236
2MASX J15404057-0009331  -0.993         -1.116
2MASX J16014061+2718161  -0.239         -0.554
2MASX J16184003+0034367  -1.401         -1.415
2MASX J16394598+4609058  -1.235         -1.112
Schulte 27               -0.714         -0.430
2MASX J20541957-0055204  -0.504         -0.876
2MASX J21362206+0056519  -1.488         -1.314
2MASX J21384311-0052162  -1.372         -1.293
2MASX J21431882-0820164  -1.394         -0.918
2MASX J22073122-0729223  -0.947         -1.051
2MASX J23130513-0033477  -0.819         -0.578
