,nibles_id,ra,dec,z,logMstar,logMHI,logfgas
0,1,0.008749999999999999,15.881694444444445,0.02,9.74,9.06,-0.67
1,2,0.05333333333333333,1.1201944444444445,0.024653333333333333,10.18,9.82,-0.36
2,4,0.2649583333333333,14.580166666666667,0.005713333333333333,6.76,7.56,0.8
3,5,0.3914583333333333,15.081555555555555,0.021173333333333332,9.57,9.53,-0.03
4,6,0.5615416666666665,14.487775,0.017103333333333335,8.67,9.41,0.74
5,7,0.7970833333333333,15.965694444444443,0.037393333333333334,11.31,10.19,-1.12
6,10,0.88375,10.744638888888888,0.02955,11.14,9.86,-1.27
7,11,0.9346666666666666,16.18686111111111,0.021393333333333334,9.84,9.53,-0.31
8,13,1.5099166666666666,14.417472222222221,0.01758,9.11,9.26,0.15
9,16,1.7566249999999999,14.106555555555556,0.01807,9.57,9.18,-0.4
10,17,1.7983333333333331,13.768555555555556,0.017926666666666667,7.47,9.46,1.99
11,19,2.1428749999999996,10.949305555555556,0.03033,10.89,10.26,-0.63
12,21,2.4176249999999997,10.417416666666666,0.01805,9.12,8.82,-0.3
13,22,2.46,0.9177777777777777,0.01343,7.85,8.16,0.31
14,29,3.061166666666667,15.257416666666666,0.006263333333333333,7.27,7.53,0.26
15,35,3.632916666666666,0.7375555555555555,0.013153333333333333,9.91,10.01,0.11
16,39,3.9613749999999994,16.08908333333333,0.013846666666666667,6.65,9.69,3.04
17,41,4.7958333333333325,15.106305555555554,0.014543333333333333,8.26,8.58,0.32
18,42,4.8358333333333325,15.977944444444445,0.018283333333333332,9.17,9.03,-0.14
19,44,5.038749999999999,14.291305555555555,0.01601,8.79,9.2,0.41
20,47,5.2025,14.224388888888889,0.017813333333333334,9.31,8.63,-0.68
21,49,5.463333333333333,9.492249999999999,0.020896666666666668,10.6,9.47,-1.13
22,50,5.494583333333333,15.981055555555555,0.014626666666666666,8.1,8.02,-0.08
23,51,5.584583333333333,15.94175,0.017376666666666665,8.68,8.81,0.13
24,52,5.737916666666665,16.25311111111111,0.017483333333333333,9.73,9.67,-0.06
25,53,5.812083333333334,14.80952777777778,0.017666666666666667,9.32,9.29,-0.03
26,55,5.9975,15.770416666666668,0.017693333333333332,9.93,10.09,0.16
27,56,6.107916666666666,14.069527777777777,0.01423,8.45,8.43,-0.02
28,57,6.177874999999999,14.824555555555555,0.017586666666666667,9.95,9.48,-0.47
29,60,6.3702499999999995,8.80738888888889,0.021043333333333334,9.66,9.5,-0.16
30,62,6.6040416666666655,1.02,0.017833333333333333,9.41,9.3,-0.11
31,63,6.957083333333333,1.1999722222222222,0.012993333333333334,9.37,9.62,0.26
32,64,6.974166666666666,0.9668055555555556,0.014483333333333334,8.31,8.59,0.27
33,65,7.016249999999999,14.301777777777778,0.015143333333333333,8.38,9.03,0.64
34,66,7.319999999999999,1.0070277777777779,0.013333333333333334,6.22,8.34,2.12
35,68,7.409999999999999,0.4103888888888889,0.013836666666666667,9.22,8.9,-0.32
